"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"日付/時刻：トランザクションの掲載日/時刻"
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"注：開始日が2025年1月1日以降のレポートには、掲載日でインデックスが作成されています。決済済みトランザクションと留保中トランザクションの両方が含まれており、2つの新しい列があります。 インテグレーションやサードパーティのマッピングを更新することが必要になる場合があります。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計","トランザクションのステータス","トランザクション開始日"
"2026/07/01 14:14:41 JST","12385292663","注文","249-0792394-1151000","IF-0HG8-HYIH","【セット品】ナチュラルペットフーズ PRO ADVANCE セキセイインコ 650g × 2個セット シード＆ペレットミックス 総�","2","amazon.jp","出品者","","大阪府","536-001","","3,964","396","0","0","0","0","0","0","0","0","-739","0","0","0","3,621","支払い実行済み","2026/07/09 17:46:28 JST"
"2026/07/01 14:14:43 JST","12385292663","注文","249-8086226-9635052","HR-ZDMA-9O7N","【まとめ買い】ロッシモイストエイド 馬油ナチュラルミルクローション 485ml×4個 オリジナルスパウトパウチ付�","1","amazon.jp","出品者","","埼玉県","344-006","","3,255","325","0","0","0","0","0","0","0","0","-409","0","0","0","3,171","支払い実行済み","2026/07/10 8:30:03 JST"
"2026/07/01 14:14:44 JST","12385292663","注文","503-1813883-3000654","pr_1296040_20260330_30175423_0001","クーリア バインダー バッグマイシールバインダー きらりんエナガマーチ 01114","1","amazon.jp","出品者","","山口県","747-083","","1,491","149","0","0","0","0","0","0","0","0","-278","0","0","0","1,362","支払い実行済み","2026/07/10 12:47:26 JST"
"2026/07/01 14:14:45 JST","12385292663","注文","503-0431731-7297401","pr_1296040_F_20240515_20942635_0001","ロイヤルカナン ヘアボール ケア 毛玉が気になる成猫用 400g 便秘 栄養 (1)","1","amazon.jp","出品者","","埼玉県","343-002","","1,800","180","0","0","0","0","0","0","0","0","-336","0","0","0","1,644","支払い実行済み","2026/07/09 18:46:54 JST"
"2026/07/01 14:14:45 JST","12385292663","注文","503-9826218-2010235","pr_1296040_20250910_27777804_0001","【医薬部外品】ビオレｕ 泡ハンドソープ シトラスの香り つめかえ用 ７７０ｍｌ","2","amazon.jp","出品者","","茨城県","313-006","","1,764","176","0","0","0","0","0","0","0","0","-178","0","0","0","1,762","支払い実行済み","2026/07/09 20:12:46 JST"
"2026/07/01 14:14:49 JST","12385292663","注文","250-5493968-7303866","pr_1296040_20260330_30175423_0001","クーリア バインダー バッグマイシールバインダー きらりんエナガマーチ 01114","1","amazon.jp","出品者","","埼玉県","335-003","","1,491","149","0","0","0","0","0","0","0","0","-278","0","0","0","1,362","支払い実行済み","2026/07/09 10:02:44 JST"
"2026/07/01 14:14:49 JST","12385292663","注文","250-4993809-1346266","pr_1296040_20250901_27678799_0001","日本カルシウム工業 ペットボトル用浄水器 クリスタルH2O 1個入","1","amazon.jp","出品者","","東京都","104-005","","882","88","0","0","0","0","0","0","0","0","-89","0","0","0","881","支払い実行済み","2026/07/10 5:41:48 JST"
"2026/07/01 14:14:50 JST","12385292663","注文","250-9914698-5653454","N7-TSZM-WM23","マルカン インコのおやつ かじりま専科 ２本入り 鳥 おやつ スナック・ビスケット (３袋)","1","amazon.jp","出品者","","長野県","390-085","","1,362","136","0","0","0","0","0","0","0","0","-139","0","0","0","1,359","支払い実行済み","2026/07/10 0:44:55 JST"
"2026/07/01 14:14:50 JST","12385292663","注文","249-1601883-1895023","pr_1296040_20250614_26607517_0001","チャオ (CIAO) ちゅ~るごはん まぐろバラエティ 14g×20本 猫用おやつ","1","amazon.jp","出品者","","兵庫県","666-000","","1,164","116","0","0","0","0","0","0","0","0","-119","0","0","0","1,161","支払い実行済み","2026/07/09 20:39:10 JST"
"2026/07/01 14:14:50 JST","12385292663","注文","503-1510904-9607868","pr_1296040_20260108_29191932_0001","日本カルシウム工業 冷水筒浄水パック 水道水の塩素・カルキを99%カット アルカリイオン水が簡単","1","amazon.jp","出品者","","山形県","999-520","","1,255","125","0","0","0","0","0","0","0","0","-234","0","0","0","1,146","支払い実行済み","2026/07/10 5:18:55 JST"
"2026/07/01 14:14:56 JST","12385292663","注文","249-0598594-3611014","YW-8Q00-H7PB","アース・ペット スタミノール 食欲がない時に 犬・猫用 100g","1","amazon.jp","出品者","","神奈川県","226-002","","1,618","162","0","0","0","0","0","0","0","0","-301","0","0","0","1,479","支払い実行済み","2026/07/10 5:39:51 JST"
"2026/07/01 14:14:58 JST","12385292663","注文","250-6200995-7457425","pr_1296040_20260330_30175449_0001","クーリア シールバインダー とうめいシールバインダー クリア 01065","1","amazon.jp","出品者","","大阪府","547-003","","1,091","109","0","0","0","0","0","0","0","0","-204","0","0","0","996","支払い実行済み","2026/07/10 8:17:22 JST"
"2026/07/01 14:14:58 JST","12385292663","注文","249-7662567-5595817","YW-8Q00-H7PB","アース・ペット スタミノール 食欲がない時に 犬・猫用 100g","1","amazon.jp","出品者","","埼玉県","352-002","","1,618","162","0","0","0","0","0","0","0","0","-301","0","0","0","1,479","支払い実行済み","2026/07/09 23:01:40 JST"
"2026/07/01 14:15:04 JST","12385292663","注文","503-8659216-9036607","YW-8Q00-H7PB","アース・ペット スタミノール 食欲がない時に 犬・猫用 100g","1","amazon.jp","出品者","","岩手県","028-811","","1,618","162","0","0","0","0","0","0","0","0","-301","0","0","0","1,479","支払い実行済み","2026/07/09 14:27:27 JST"
"2026/07/01 14:15:04 JST","12385292663","注文","249-7969523-3468636","7O-FN6D-SNQ7","マルカン インコのおやつ かじりま専科 ２本入り 鳥 おやつ スナック・ビスケット (２袋)","1","amazon.jp","出品者","","千葉県","278-005","","1,073","107","0","0","0","0","0","0","0","0","-109","0","0","0","1,071","支払い実行済み","2026/07/09 20:26:36 JST"
"2026/07/01 14:15:08 JST","12385292663","注文","249-0828762-2974249","OC-UGNR-32XG","エクセル 乳酸菌生成エキス コスモスラクト バード 30ml 鳥用 サプリ 綿棒付き","1","amazon.jp","出品者","","東京都","184-000","","2,173","217","0","0","0","0","0","0","0","0","-405","0","0","0","1,985","支払い実行済み","2026/07/09 13:23:31 JST"
"2026/07/01 14:15:13 JST","12385292663","注文","250-9609782-8548615","OC-UGNR-32XG","エクセル 乳酸菌生成エキス コスモスラクト バード 30ml 鳥用 サプリ 綿棒付き","1","amazon.jp","出品者","","東京都","198-006","","2,173","217","0","0","0","0","0","0","0","0","-405","0","0","0","1,985","支払い実行済み","2026/07/10 4:16:56 JST"
"2026/07/01 14:15:26 JST","12385292663","注文","249-9469613-3058223","UJ-G1WI-QH6T","サンライズ ゴン太の歯磨き専用ガムSSサイズ L8020乳酸菌入り クロロフィル入り 低脂肪 120g 3袋セット(90本)","1","amazon.jp","出品者","","埼玉県","360-022","","1,345","135","0","0","0","0","0","0","0","0","-136","0","0","0","1,344","支払い実行済み","2026/07/10 5:41:31 JST"
"2026/07/01 14:15:28 JST","12385292663","注文","249-4835458-2267828","40-U4OH-0ZIW","【セット品】 いなば チャオ こだわり焼かつおディナー 4種 アソート 国産 30g×16袋 猫用 パウチ キャットフード","1","amazon.jp","出品者","","愛知県","464-080","","1,982","198","0","0","0","0","0","0","0","0","-370","0","0","0","1,810","支払い実行済み","2026/07/09 20:57:24 JST"
